Ano;Sexo;Edad;m(x);q(x);l(x);d(x);L(x,x+1);T(x);P(x,x+1);e(x)
1992;1;60;0,016192756;0,016062706;81137,16368;1303,282424;80485,52246;1460102,438;0,984699107;17,99548285
1992;1;65;0,024177194;0,023888416;73743,61671;1761,618227;72862,8076;1072044,317;0,977133535;14,53745239
1992;1;70;0,040648944;0,039830442;63291,66037;2520,93478;62017,22678;727809,912;0,961673597;11,49930193
1992;1;80;0,095555838;0,091060536;34262,02845;3119,918687;32650,21525;234051,4507;0,912637849;6,831219903
2002;1;60;0,013521947;0,013431139;84515,53579;1135,13992;83947,96583;1655027,761;0,987141647;19,582527
2002;1;65;0,019665356;0,019473876;78173,96743;1522,350156;77412,79235;1247626,514;0,981409825;15,95961616
2002;1;70;0,033173487;0,032626326;69019,43009;2251,850456;67881,02942;878085,233;0,968601938;12,7222904
2002;1;80;0,081287447;0,078011379;41794,75352;3260,466365;40110,33053;315133,7724;0,925337372;7,540031843
2017;1;60;0,009290817;0,009247857;88174,56674;815,4258115;87766,85384;1945279,761;0,991134944;22,06168778
2017;1;65;0,014660909;0,01455422;83369,90093;1213,383885;82763,20899;1515664,977;0,986113382;18,18000213
2017;1;70;0,023195905;0,022927052;76237,49665;1747,901028;75353,86262;1115596,279;0,977989758;14,63317039
2017;1;80;0,060283682;0,058462926;52895,82523;3092,444703;51298,20564;458967,3912;0,944170048;8,676816917
1992;2;60;0,008662009;0,008624655;89412,17747;771,1492048;89026,60287;1922197,373;0,991776776;21,49816085
1992;2;65;0,014210159;0,014109907;84789,31415;1196,369349;84191,12948;1485898,791;0,986604208;17,52459973
1992;2;70;0,024526424;0,024226043;77472,01235;1876,840306;76523,19434;1078901,854;0,976900052;13,92634348
1992;2;80;0,067475518;0,065202606;51929,91075;3385,965494;50180,65237;418732,4762;0,937996724;8,063416057
2002;2;60;0,007424221;0,007396763;91767,77706;678,7845299;91428,38479;2142913,107;0,992951851;23,35147669
2002;2;65;0,011089115;0,011027969;87837,85042;968,6731313;87353,51386;1693369,847;0,989461248;19,27836165
2002;2;70;0,018975175;0,018794881;81874,93164;1538,829599;81096,99159;1267935,501;0,982004218;15,48624805
2002;2;80;0,054738862;0,053233462;59999,73299;3193,993516;58349,65123;544816,508;0,949395317;9,080315542
2017;2;60;0,005106183;0,00509318;93645,39331;476,9528233;93406,91689;2416452,283;0,995123192;25,80428356
2017;2;65;0,008404642;0,008369471;90742,18261;759,4640367;90362,45059;1954943,047;0,992027951;21,54392798
2017;2;70;0,013779956;0,013684624;86154,96604;1178,998349;85558,93511;1511895,433;0,986919124;17,54855816
2017;2;80;0,039536649;0,03874526;68825,73623;2666,671031;67448,07995;725565,6541;0,963277989;10,54206891
