"Edad","esc_bajo","esc_medio","esc_alto","year"
25,58594,11179,212853,2002
26,63141,10934,224138,2002
27,68684,11084,238208,2002
28,68806,11014,235688,2002
29,68546,11147,232125,2002
30,72940,11366,242444,2002
31,66540,10404,220280,2002
32,74939,10777,235119,2002
33,74513,10356,231492,2002
34,75320,9804,229372,2002
35,78167,8955,232379,2002
36,84333,8675,245619,2002
37,87379,8305,250953,2002
38,87885,8397,248567,2002
39,84299,8081,238155,2002
40,88181,8558,247512,2002
41,75198,7718,211648,2002
42,93610,8338,252996,2002
43,81491,7163,220705,2002
44,68547,6149,186873,2002
45,67496,9979,189125,2002
46,64888,9603,181409,2002
47,64694,9770,179272,2002
48,62465,9374,172346,2002
49,55671,9646,155296,2002
50,54226,12172,156726,2002
51,45038,12261,132287,2002
52,55440,16202,159112,2002
53,46415,14401,133187,2002
54,44980,14592,128266,2002
55,39552,14280,114982,2002
56,40787,14609,115859,2002
57,39116,14083,109863,2002
58,39295,14479,109845,2002
59,36873,13447,101697,2002
60,39594,14730,109392,2002
61,31230,11667,85377,2002
62,38125,13660,101892,2002
63,33994,11208,88456,2002
64,31687,10389,82039,2002
65,37312,12289,96507,2002
66,29761,9439,76161,2002
67,29353,9705,75325,2002
68,26579,9303,69073,2002
69,24397,8771,63585,2002
70,27999,10699,73737,2002
71,24090,8731,62243,2002
72,30803,10098,77820,2002
73,26937,8356,67078,2002
74,24835,7825,61833,2002
75,21620,7567,54911,2002
76,19402,6485,48681,2002
77,16884,5266,41756,2002
78,17841,5426,43668,2002
79,13541,4356,33568,2002
80,14976,5192,38054,2002
81,11200,3664,27888,2002
82,13628,4123,33285,2002
83,10408,3140,25492,2002
84,10204,3048,24962,2002
85,8633,2925,21475,2002
86,8370,2560,20536,2002
87,7384,2287,18193,2002
88,5970,1878,14850,2002
89,4896,1544,12200,2002
90,4085,1298,10212,2002
91,2807,973,7161,2002
92,3139,956,7792,2002
93,2077,642,5154,2002
94,1600,520,4040,2002
95,1202,390,3082,2002
96,1153,319,2851,2002
97,821,233,2029,2002
98,716,193,1735,2002
99,573,126,1446,2002
100,141,28,324,2002
101,92,23,225,2002
102,69,14,174,2002
103,57,15,137,2002
104,33,9,83,2002
105,43,13,107,2002
106,20,7,65,2002
107,25,5,59,2002
108,13,9,41,2002
109,NA,NA,NA,2002
110,NA,NA,NA,2002
